ind_id,ind_name,sector,ksic,prod_src,bok36,kospi_suffix,kospi_code
AGR1,농업·임업,농림어업,A,none,1101,,
AGR2,어업,농림어업,A,none,1101,,
MIN1,석탄·원유·천연가스 광업,광업,B05,mfg,1102,,
MIN2,금속 광업,광업,B06,mfg,1102,,
MIN3,비금속광물 광업,광업,B07,mfg,1102,,
MFG10,식료품,제조업,C10,mfg,110301,A.02,13102130657A.02
MFG11,음료,제조업,C11,mfg,110301,A.02,13102130657A.02
MFG12,담배,제조업,C12,mfg,110301,A.02,13102130657A.02
MFG13,섬유제품(의복 제외),제조업,C13,mfg,110302,A.03,13102130657A.03
MFG14,의복·액세서리·모피,제조업,C14,mfg,110302,A.03,13102130657A.03
MFG15,가죽·가방·신발,제조업,C15,mfg,110302,A.03,13102130657A.03
MFG16,목재·나무제품,제조업,C16,mfg,110303,A.04,13102130657A.04
MFG17,펄프·종이,제조업,C17,mfg,110303,A.04,13102130657A.04
MFG18,인쇄·기록매체 복제,제조업,C18,mfg,110303,A.04,13102130657A.04
MFG19,코크스·연탄·석유정제,제조업,C19,mfg,110304,A.05,13102130657A.05
MFG20,화학물질·화학제품(의약 제외),제조업,C20,mfg,110305,A.05,13102130657A.05
MFG21,의료용 물질·의약품,제조업,C21,mfg,110305,A.06,13102130657A.06
MFG22,고무·플라스틱,제조업,C22,mfg,110305,A.05,13102130657A.05
MFG23,비금속 광물제품,제조업,C23,mfg,110306,A.07,13102130657A.07
MFG24,1차 금속,제조업,C24,mfg,110307,A.08,13102130657A.08
MFG25,금속가공제품,제조업,C25,mfg,110308,A.08,13102130657A.08
MFG26,전자부품·컴퓨터·영상·음향·통신장비,제조업,C26,mfg,110309,A.10,13102130657A.10
MFG27,의료·정밀·광학기기·시계,제조업,C27,mfg,110309,A.11,13102130657A.11
MFG28,전기장비,제조업,C28,mfg,110310,A.10,13102130657A.10
MFG29,기타 기계·장비,제조업,C29,mfg,110311,A.09,13102130657A.09
MFG30,자동차·트레일러,제조업,C30,mfg,110312,A.12,13102130657A.12
MFG31,기타 운송장비,제조업,C31,mfg,110312,A.12,13102130657A.12
MFG32,가구,제조업,C32,mfg,110313,,
MFG33,기타 제품,제조업,C33,mfg,110313,,
MFG34,산업용 기계·장비 수리,제조업,C34,mfg,110313,,
UTL35,전기·가스·증기·공기조절,SOC,D35,mfg,110401;110402,A.14,13102130657A.14
UTL36,수도,SOC,E36,svc,110403,,
UTL37,하수·폐수·분뇨처리,SOC,E37,svc,110403,,
UTL38,폐기물 처리·원료재생,SOC,E38,svc,110403,,
CON,건설업,SOC,F,none,11051;11052;11053;11054,A.15,13102130657A.15
WRT45,자동차·부품 판매,서비스업,G45,svc,110601,A.13,13102130657A.13
WRT46,도매·상품중개,서비스업,G46,svc,110601,A.13,13102130657A.13
WRT47,소매(자동차 제외),서비스업,G47,svc,110601,A.13,13102130657A.13
TRN49,육상·파이프라인 운송,서비스업,H49,svc,1107,A.16,13102130657A.16
TRN50,수상 운송,서비스업,H50,svc,1107,A.16,13102130657A.16
TRN51,항공 운송,서비스업,H51,svc,1107,A.16,13102130657A.16
TRN52,창고·운송관련 서비스,서비스업,H52,svc,1107,A.16,13102130657A.16
ACF55,숙박,서비스업,I55,svc,110602,A.22,13102130657A.22
ACF56,음식점·주점,서비스업,I56,svc,110602,A.22,13102130657A.22
ICT58,출판,서비스업,J58,svc,11142,A.24,13102130657A.24
ICT59,영상·오디오 기록물,서비스업,J59,svc,11142,A.25,13102130657A.25
ICT60,방송,서비스업,J60,svc,11142,A.25,13102130657A.25
ICT61,우편·통신,서비스업,J61,svc,11141,A.17,13102130657A.17
ICT62,컴퓨터 프로그래밍·SI,서비스업,J62,svc,11142,A.24,13102130657A.24
ICT63,정보서비스,서비스업,J63,svc,11142,A.24,13102130657A.24
FIN64,금융업,서비스업,K64,svc,1108,A.19,13102130657A.19
FIN65,보험·연금,서비스업,K65,svc,1108,A.21,13102130657A.21
FIN66,금융·보험 관련 서비스,서비스업,K66,svc,1108,A.20,13102130657A.20
RE68,부동산업,서비스업,L68,svc,1109,A.23,13102130657A.23
PRO70,연구개발,서비스업,M70,svc,111501,A.22,13102130657A.22
PRO71,전문서비스,서비스업,M71,svc,111501,A.22,13102130657A.22
PRO72,건축기술·엔지니어링,서비스업,M72,svc,111501,A.22,13102130657A.22
PRO73,기타 전문·과학·기술,서비스업,M73,svc,111501,A.22,13102130657A.22
BUS74,사업시설관리·조경,서비스업,N74,svc,111502,A.22,13102130657A.22
BUS75,사업지원 서비스,서비스업,N75,svc,111502,A.22,13102130657A.22
BUS76,임대업(부동산 제외),서비스업,N76,svc,111502,A.22,13102130657A.22
PUB,공공행정·국방·사회보장,서비스업,O,none,1110,,
EDU85,교육 서비스,서비스업,P85,svc,1111,A.22,13102130657A.22
HW86,보건업,서비스업,Q86,svc,1112,A.22,13102130657A.22
HW87,사회복지 서비스,서비스업,Q87,svc,1112,,
ART90,창작·예술·여가,서비스업,R90,svc,11131,A.25,13102130657A.25
ART91,스포츠·오락,서비스업,R91,svc,11131,A.25,13102130657A.25
PER94,협회·단체,서비스업,S94,svc,11132,,
PER95,개인·소비용품 수리,서비스업,S95,svc,11132,,
PER96,기타 개인 서비스,서비스업,S96,svc,11132,,
