ind_id,ind_name,rho,s2,max_recon_err,T
AGR1,농업·임업,0.9,0.00059,0.0,312
AGR2,어업,0.9,0.00059,0.0,312
MIN1,석탄·원유·천연가스 광업,0.65,0.00818,0.0,312
MIN2,금속 광업,0.75,0.0092,0.0,312
MIN3,비금속광물 광업,0.85,0.0084,0.0,312
MFG10,식료품,0.85,0.00202,0.0,312
MFG11,음료,0.8,0.00188,0.0,312
MFG12,담배,0.8,0.00115,0.0,312
MFG13,섬유제품(의복 제외),0.8,0.00178,0.0,312
MFG14,의복·액세서리·모피,0.9,0.00152,0.0,312
MFG15,가죽·가방·신발,0.95,0.00106,0.0,312
MFG16,목재·나무제품,0.9,0.00097,0.0,312
MFG17,펄프·종이,0.9,0.00122,0.0,312
MFG18,인쇄·기록매체 복제,0.85,0.00083,0.0,312
MFG19,코크스·연탄·석유정제,0.9,0.01979,0.0,312
MFG20,화학물질·화학제품(의약 제외),0.15,0.00203,0.0,312
MFG21,의료용 물질·의약품,0.9,0.00046,0.0,312
MFG22,고무·플라스틱,0.75,0.00067,0.0,312
MFG23,비금속 광물제품,0.97,0.00085,0.0,312
MFG24,1차 금속,0.95,0.00058,0.0,312
MFG25,금속가공제품,0.99,0.00087,0.0,312
MFG26,전자부품·컴퓨터·영상·음향·통신장비,0.99,0.00161,0.0,312
MFG27,의료·정밀·광학기기·시계,0.85,0.00082,0.0,312
MFG28,전기장비,0.97,0.00056,0.0,312
MFG29,기타 기계·장비,0.99,0.00053,0.0,312
MFG30,자동차·트레일러,0.8,0.00384,0.0,312
MFG31,기타 운송장비,0.99,0.00131,0.0,312
MFG32,가구,0.99,0.00228,0.0,312
MFG33,기타 제품,0.99,0.00115,0.0,312
MFG34,산업용 기계·장비 수리,0.97,0.00166,0.0,312
UTL35,전기·가스·증기·공기조절,0.9,0.00085,0.0,312
UTL36,수도,0.3,0.00465,0.0,312
UTL37,하수·폐수·분뇨처리,0.85,0.0021,0.0,312
UTL38,폐기물 처리·원료재생,0.85,0.00197,0.0,312
CON,건설업,0.99,0.00034,0.0,312
WRT45,자동차·부품 판매,0.95,0.00032,0.0,312
WRT46,도매·상품중개,0.9,0.00048,0.0,312
WRT47,소매(자동차 제외),0.95,0.00039,0.0,312
TRN49,육상·파이프라인 운송,0.95,0.0012,0.0,312
TRN50,수상 운송,0.9,0.00118,0.0,312
TRN51,항공 운송,0.55,0.00104,0.0,312
TRN52,창고·운송관련 서비스,0.95,0.00122,0.0,312
ACF55,숙박,0.8,0.00047,0.0,312
ACF56,음식점·주점,0.7,0.00168,0.0,312
ICT58,출판,0.5,0.00528,0.0,312
ICT59,영상·오디오 기록물,0.2,0.01384,0.0,312
ICT60,방송,0.9,0.00266,0.0,312
ICT61,우편·통신,0.99,0.00036,0.0,312
ICT62,컴퓨터 프로그래밍·SI,0.95,0.0029,0.0,312
ICT63,정보서비스,0.2,0.01283,0.0,312
FIN64,금융업,0.8,0.00124,0.0,312
FIN65,보험·연금,0.9,0.00066,0.0,312
FIN66,금융·보험 관련 서비스,0.75,0.00121,0.0,312
RE68,부동산업,0.97,7e-05,0.0,312
PRO70,연구개발,0.95,0.00213,0.0,312
PRO71,전문서비스,0.9,0.00291,0.0,312
PRO72,건축기술·엔지니어링,0.8,0.00204,0.0,312
PRO73,기타 전문·과학·기술,0.0,0.00591,0.0,312
BUS74,사업시설관리·조경,0.99,0.00069,0.0,312
BUS75,사업지원 서비스,0.97,0.00096,0.0,312
BUS76,임대업(부동산 제외),0.9,0.00089,0.0,312
PUB,공공행정·국방·사회보장,0.99,1e-05,0.0,312
EDU85,교육 서비스,0.99,3e-05,0.0,312
HW86,보건업,0.97,0.00267,0.0,312
HW87,사회복지 서비스,0.97,0.0015,0.0,312
ART90,창작·예술·여가,0.85,0.00268,0.0,312
ART91,스포츠·오락,0.95,0.00313,0.0,312
PER94,협회·단체,0.85,0.0011,0.0,312
PER95,개인·소비용품 수리,0.0,0.01216,0.0,312
PER96,기타 개인 서비스,0.95,0.00129,0.0,312
