scenario,date,point,p5,p15,p50,p85,p95
S1,2026-01-01,97.39,96.61,96.91,97.44,97.93,98.27
S1,2026-02-01,97.09,96.14,96.55,97.19,97.82,98.32
S1,2026-03-01,98.47,97.36,97.79,98.6,99.46,99.86
S1,2026-04-01,98.39,96.98,97.62,98.62,99.61,100.2
S1,2026-05-01,98.95,97.29,97.94,99.08,100.38,100.96
S1,2026-06-01,99.72,98.08,98.81,100.0,101.22,102.03
S1,2026-07-01,99.71,97.93,98.7,100.06,101.4,102.24
S1,2026-08-01,99.66,97.65,98.5,100.07,101.49,102.53
S1,2026-09-01,100.43,98.5,99.3,100.88,102.33,103.2
S1,2026-10-01,100.56,98.32,99.45,100.91,102.49,103.43
S1,2026-11-01,100.74,98.21,99.57,101.34,102.84,103.63
S1,2026-12-01,101.62,99.41,100.49,102.27,103.89,104.85
S1,2027-01-01,101.65,99.55,100.52,102.27,104.11,104.93
S1,2027-02-01,101.77,99.58,100.65,102.45,104.22,105.11
S1,2027-03-01,102.45,100.03,101.31,103.1,105.05,106.21
S1,2027-04-01,102.72,100.32,101.4,103.48,105.54,106.49
S1,2027-05-01,103.03,100.66,101.86,103.96,105.89,106.92
S1,2027-06-01,103.6,101.2,102.41,104.44,106.78,108.01
S1,2027-07-01,103.81,101.3,102.58,104.72,107.03,108.6
S1,2027-08-01,104.01,101.62,102.54,105.04,107.37,108.48
S1,2027-09-01,104.56,101.98,103.18,105.42,107.95,109.48
S1,2027-10-01,104.89,102.27,103.72,105.88,108.32,109.88
S1,2027-11-01,105.19,102.52,103.87,106.29,108.67,109.99
S1,2027-12-01,105.7,103.12,104.39,106.75,109.33,110.79
S1,2028-01-01,105.98,103.1,104.65,106.95,109.66,111.34
S1,2028-02-01,106.26,103.48,104.67,107.37,110.1,111.84
S1,2028-03-01,106.77,103.6,105.19,107.97,110.64,112.13
S1,2028-04-01,107.13,104.42,105.49,108.29,111.27,113.04
S1,2028-05-01,107.46,104.58,105.88,108.65,111.67,113.23
S1,2028-06-01,107.91,104.85,106.29,109.23,112.25,114.21
S1,2028-07-01,108.25,105.07,106.75,109.6,112.62,114.35
S1,2028-08-01,108.58,105.53,107.14,110.0,112.92,115.22
S1,2028-09-01,109.04,105.77,107.5,110.52,113.5,115.43
S1,2028-10-01,109.42,106.11,107.86,110.79,114.14,115.82
S1,2028-11-01,109.78,106.34,107.99,111.19,114.43,116.69
S1,2028-12-01,110.21,106.7,108.46,111.68,114.74,117.26
S1,2029-01-01,110.58,106.57,109.03,112.21,115.5,117.86
S1,2029-02-01,110.95,107.32,109.16,112.84,115.91,118.54
S1,2029-03-01,111.39,108.01,109.71,112.98,116.31,119.01
S1,2029-04-01,111.79,108.1,110.08,113.66,117.1,119.92
S1,2029-05-01,112.17,108.44,110.67,114.17,117.58,120.23
S1,2029-06-01,112.6,108.96,110.91,114.65,118.12,120.89
S1,2029-07-01,113.0,109.37,111.16,115.1,118.94,121.49
S1,2029-08-01,113.39,109.77,111.97,115.38,119.48,122.17
S1,2029-09-01,113.83,110.52,112.1,115.95,119.74,122.56
