scenario,year,g_point,g_p5,g_p50,g_p95
S1,2026,3.38,2.28,3.61,4.86
S1,2027,4.14,2.42,4.37,6.42
S1,2028,4.26,2.5,4.4,6.87
S1,2029,4.37,2.55,4.75,7.09
S1,2030,4.49,2.78,4.89,7.91
S1,2031,4.62,2.38,4.9,8.36
S1,2032,4.77,2.71,5.13,8.89
S1,2033,4.93,2.51,5.39,9.99
S1,2034,5.13,2.44,5.34,12.01
S1,2035,5.34,2.32,5.7,11.62
S2,2026,2.4,1.41,2.67,4.08
S2,2027,3.06,1.46,3.33,5.41
S2,2028,4.58,2.81,4.88,7.17
S2,2029,4.99,2.98,5.13,7.7
S2,2030,4.7,2.62,4.94,8.09
S2,2031,4.65,2.64,4.96,8.3
S2,2032,4.79,2.39,5.12,8.85
S2,2033,4.96,2.85,5.24,9.77
S2,2034,5.17,2.7,5.4,11.55
S2,2035,5.4,2.23,5.9,11.77
S3,2026,3.38,2.25,3.56,5.05
S3,2027,4.14,2.55,4.35,6.52
S3,2028,4.25,2.53,4.58,6.86
S3,2029,4.36,2.49,4.67,7.09
S3,2030,4.48,2.48,4.74,7.54
S3,2031,4.61,2.54,4.85,8.06
S3,2032,4.75,2.35,5.07,8.69
S3,2033,4.91,2.87,5.33,9.0
S3,2034,5.1,2.7,5.46,10.61
S3,2035,5.3,2.5,5.53,12.47
S4,2026,3.92,2.8,4.25,5.51
S4,2027,4.88,3.13,5.21,7.75
S4,2028,4.27,2.36,4.6,7.09
S4,2029,4.27,2.35,4.61,7.59
S4,2030,4.32,2.34,4.68,8.15
S4,2031,4.4,2.2,4.84,8.17
S4,2032,4.57,2.42,4.97,10.07
S4,2033,4.78,2.47,5.42,10.86
S4,2034,5.09,2.19,5.68,10.67
S4,2035,5.34,2.35,5.74,12.07
S5,2026,2.74,1.57,2.88,4.21
S5,2027,3.58,1.7,3.83,5.97
S5,2028,4.79,3.16,5.1,7.27
S5,2029,4.77,3.16,5.11,7.37
S5,2030,4.53,2.55,4.86,7.47
S5,2031,4.61,2.39,4.98,8.13
S5,2032,4.76,2.39,5.18,9.0
S5,2033,4.92,2.49,5.25,9.85
S5,2034,5.11,2.43,5.38,10.98
S5,2035,5.32,1.85,5.56,12.15
