scenario,ind_id,cum_growth_2035_pct
S1,ACF_FOOD,4.59
S1,ACF_LODGE,3.36
S1,AGR,3.8
S1,ART_CRE,42.15
S1,ART_SPO,38.82
S1,BUS_FAC,49.54
S1,BUS_RENT,48.93
S1,BUS_SUP,50.8
S1,CON,4.13
S1,EDU,28.17
S1,E_AI,-31.62
S1,E_BATT,45.78
S1,E_BIO,36.01
S1,E_CONT,23.88
S1,E_HEALTH,75.39
S1,E_PLAT,85.4
S1,E_RENEW,57.95
S1,E_SEMI,158.61
S1,FIN_AUX,77.87
S1,FIN_BANK,92.64
S1,FIN_INS,86.75
S1,HW_WELF,72.15
S1,H_CHEM,29.86
S1,H_ELEC,158.61
S1,H_ELECEQ,45.78
S1,H_HEALTH,75.39
S1,H_INFOSVC,729.83
S1,H_MEDIA,135.42
S1,H_RETAIL,17.48
S1,H_UTIL,57.95
S1,ICT_TEL,80.81
S1,MFG_APP,0.45
S1,MFG_AUTO,51.92
S1,MFG_BEV,29.34
S1,MFG_COKE,14.21
S1,MFG_FOOD,30.34
S1,MFG_FURN,14.27
S1,MFG_LEATHER,-0.49
S1,MFG_MACH,54.42
S1,MFG_METAL,-2.33
S1,MFG_NONMET,-0.0
S1,MFG_OTH,12.59
S1,MFG_OTRANS,48.8
S1,MFG_PAPER,1.92
S1,MFG_PREC,163.47
S1,MFG_PRINT,1.05
S1,MFG_REP,12.9
S1,MFG_STEEL,-4.34
S1,MFG_TEX,-1.36
S1,MFG_TOB,26.65
S1,MFG_WOOD,1.47
S1,MIN_COAL,-26.89
S1,MIN_MET,-27.73
S1,MIN_NONMET,-26.87
S1,PER_ASSOC,14.41
S1,PER_OTH,14.25
S1,PER_REP,14.03
S1,PRO_ENG,38.42
S1,PRO_ETC,38.45
S1,PRO_PRO,38.45
S1,PRO_RND,38.53
S1,PUB,35.93
S1,RE,28.9
S1,TRN_AIR,47.23
S1,TRN_LAND,48.8
S1,TRN_SEA,47.16
S1,TRN_WARE,55.42
S1,UTL_SEW,23.92
S1,UTL_WASTE,25.89
S1,UTL_WATER,25.52
S2,ACF_FOOD,2.74
S2,ACF_LODGE,2.6
S2,AGR,4.12
S2,ART_CRE,41.64
S2,ART_SPO,38.7
S2,BUS_FAC,48.61
S2,BUS_RENT,47.53
S2,BUS_SUP,48.87
S2,CON,3.79
S2,EDU,27.74
S2,E_AI,-34.23
S2,E_BATT,42.21
S2,E_BIO,33.14
S2,E_CONT,34.01
S2,E_HEALTH,74.31
S2,E_PLAT,99.68
S2,E_RENEW,56.88
S2,E_SEMI,153.74
S2,FIN_AUX,80.99
S2,FIN_BANK,97.78
S2,FIN_INS,92.08
S2,HW_WELF,71.79
S2,H_CHEM,26.48
S2,H_ELEC,153.74
S2,H_ELECEQ,42.21
S2,H_HEALTH,74.31
S2,H_INFOSVC,762.66
S2,H_MEDIA,105.57
S2,H_RETAIL,15.75
S2,H_UTIL,56.88
S2,ICT_TEL,79.81
S2,MFG_APP,-0.52
S2,MFG_AUTO,44.1
S2,MFG_BEV,28.38
S2,MFG_COKE,11.48
S2,MFG_FOOD,27.79
S2,MFG_FURN,13.98
S2,MFG_LEATHER,-1.75
S2,MFG_MACH,49.7
S2,MFG_METAL,-4.51
S2,MFG_NONMET,-3.74
S2,MFG_OTH,12.47
S2,MFG_OTRANS,41.18
S2,MFG_PAPER,-0.03
S2,MFG_PREC,160.94
S2,MFG_PRINT,-0.3
S2,MFG_REP,12.91
S2,MFG_STEEL,-8.61
S2,MFG_TEX,-2.35
S2,MFG_TOB,25.84
S2,MFG_WOOD,0.26
S2,MIN_COAL,-27.02
S2,MIN_MET,-28.09
S2,MIN_NONMET,-27.16
S2,PER_ASSOC,15.5
S2,PER_OTH,15.33
S2,PER_REP,15.08
S2,PRO_ENG,37.96
S2,PRO_ETC,37.95
S2,PRO_PRO,37.94
S2,PRO_RND,38.05
S2,PUB,36.11
S2,RE,28.85
S2,TRN_AIR,44.56
S2,TRN_LAND,45.31
S2,TRN_SEA,44.18
S2,TRN_WARE,53.3
S2,UTL_SEW,22.58
S2,UTL_WASTE,24.79
S2,UTL_WATER,24.29
S3,ACF_FOOD,5.14
S3,ACF_LODGE,3.98
S3,AGR,4.04
S3,ART_CRE,42.0
S3,ART_SPO,39.07
S3,BUS_FAC,50.58
S3,BUS_RENT,50.03
S3,BUS_SUP,51.73
S3,CON,4.5
S3,EDU,28.09
S3,E_AI,-30.27
S3,E_BATT,45.69
S3,E_BIO,39.49
S3,E_CONT,24.82
S3,E_HEALTH,75.7
S3,E_PLAT,83.53
S3,E_RENEW,56.7
S3,E_SEMI,157.69
S3,FIN_AUX,76.65
S3,FIN_BANK,90.51
S3,FIN_INS,84.93
S3,HW_WELF,72.69
S3,H_CHEM,29.89
S3,H_ELEC,157.69
S3,H_ELECEQ,45.69
S3,H_HEALTH,75.7
S3,H_INFOSVC,706.89
S3,H_MEDIA,133.21
S3,H_RETAIL,18.11
S3,H_UTIL,56.7
