ind_id,S1,S2,S3,S4,S5,labor_effect_S3_S2
ACF_FOOD,4.59,2.74,5.14,5.82,1.23,2.3999999999999995
ACF_LODGE,3.36,2.6,3.98,3.89,1.13,1.38
AGR,3.8,4.12,4.04,3.37,4.5,-0.08000000000000007
ART_CRE,42.15,41.64,42.0,41.91,43.61,0.35999999999999943
ART_SPO,38.82,38.7,39.07,38.15,40.81,0.36999999999999744
BUS_FAC,49.54,48.61,50.58,48.94,51.61,1.9699999999999989
BUS_RENT,48.93,47.53,50.03,48.47,51.18,2.5
BUS_SUP,50.8,48.87,51.73,50.81,52.0,2.8599999999999994
CON,4.13,3.79,4.5,4.53,2.53,0.71
EDU,28.17,27.74,28.09,28.48,27.69,0.3500000000000014
E_AI,-31.62,-34.23,-30.27,-31.42,-30.09,3.9599999999999973
E_BATT,45.78,42.21,45.69,47.02,46.74,3.479999999999997
E_BIO,36.01,33.14,39.49,35.94,35.62,6.350000000000001
E_CONT,23.88,34.01,24.82,16.82,37.98,-9.189999999999998
E_HEALTH,75.39,74.31,75.7,75.72,74.75,1.3900000000000006
E_PLAT,85.4,99.68,83.53,77.38,101.54,-16.150000000000006
E_RENEW,57.95,56.88,56.7,58.82,58.67,-0.17999999999999972
E_SEMI,158.61,153.74,157.69,160.76,158.51,3.9499999999999886
FIN_AUX,77.87,80.99,76.65,76.38,80.63,-4.339999999999989
FIN_BANK,92.64,97.78,90.51,90.77,95.11,-7.269999999999996
FIN_INS,86.75,92.08,84.93,84.36,90.79,-7.1499999999999915
HW_WELF,72.15,71.79,72.69,71.93,72.25,0.8999999999999915
H_CHEM,29.86,26.48,29.89,31.72,27.74,3.41
H_ELEC,158.61,153.74,157.69,160.76,158.51,3.9499999999999886
H_ELECEQ,45.78,42.21,45.69,47.02,46.74,3.479999999999997
H_HEALTH,75.39,74.31,75.7,75.72,74.75,1.3900000000000006
H_INFOSVC,729.83,762.66,706.89,728.29,698.42,-55.76999999999998
H_MEDIA,135.42,105.57,133.21,159.65,96.02,27.640000000000015
H_RETAIL,17.48,15.75,18.11,18.13,16.37,2.3599999999999994
H_UTIL,57.95,56.88,56.7,58.82,58.67,-0.17999999999999972
ICT_TEL,80.81,79.81,80.58,81.87,78.41,0.769999999999996
MFG_APP,0.45,-0.52,-0.03,0.27,3.71,0.49
MFG_AUTO,51.92,44.1,51.73,55.53,50.25,7.6299999999999955
MFG_BEV,29.34,28.38,29.28,29.19,31.61,0.9000000000000021
MFG_COKE,14.21,11.48,11.16,20.4,-1.83,-0.3200000000000003
MFG_FOOD,30.34,27.79,30.07,31.26,30.95,2.280000000000001
MFG_FURN,14.27,13.98,15.18,13.51,16.4,1.1999999999999993
MFG_LEATHER,-0.49,-1.75,-0.86,-0.53,2.47,0.89
MFG_MACH,54.42,49.7,54.46,55.71,56.54,4.759999999999998
MFG_METAL,-2.33,-4.51,-1.56,-2.08,-0.54,2.9499999999999997
MFG_NONMET,-0.0,-3.74,0.44,1.58,-0.67,4.180000000000001
MFG_OTH,12.59,12.47,13.6,11.64,15.15,1.129999999999999
MFG_OTRANS,48.8,41.18,48.87,52.28,47.11,7.689999999999998
MFG_PAPER,1.92,-0.03,2.07,2.81,0.94,2.0999999999999996
MFG_PREC,163.47,160.94,162.47,164.58,163.35,1.5300000000000011
MFG_PRINT,1.05,-0.3,1.25,1.55,0.78,1.55
MFG_REP,12.9,12.91,13.9,11.88,15.61,0.9900000000000002
MFG_STEEL,-4.34,-8.61,-3.6,-2.44,-6.23,5.01
MFG_TEX,-1.36,-2.35,-1.69,-1.6,1.89,0.6600000000000001
MFG_TOB,26.65,25.84,26.8,26.35,29.05,0.9600000000000009
MFG_WOOD,1.47,0.26,1.65,1.88,1.33,1.39
MIN_COAL,-26.89,-27.02,-26.77,-26.64,-27.64,0.25
MIN_MET,-27.73,-28.09,-27.58,-27.31,-28.82,0.5100000000000016
MIN_NONMET,-26.87,-27.16,-26.78,-26.44,-27.97,0.379999999999999
PER_ASSOC,14.41,15.5,14.59,13.78,14.65,-0.9100000000000001
PER_OTH,14.25,15.33,14.46,13.61,14.52,-0.8699999999999992
PER_REP,14.03,15.08,14.24,13.4,14.27,-0.8399999999999999
PRO_ENG,38.42,37.96,38.82,38.45,38.25,0.8599999999999994
PRO_ETC,38.45,37.95,38.82,38.53,38.16,0.8699999999999974
PRO_PRO,38.45,37.94,38.83,38.56,38.07,0.8900000000000006
PRO_RND,38.53,38.05,38.9,38.61,38.24,0.8500000000000014
PUB,35.93,36.11,35.95,35.84,35.92,-0.1599999999999966
RE,28.9,28.85,28.87,28.95,28.81,0.019999999999999574
TRN_AIR,47.23,44.56,48.18,47.58,48.24,3.6199999999999974
TRN_LAND,48.8,45.31,49.53,49.71,49.01,4.219999999999999
TRN_SEA,47.16,44.18,47.89,47.6,48.86,3.710000000000001
TRN_WARE,55.42,53.3,55.64,55.7,56.95,2.3400000000000034
UTL_SEW,23.92,22.58,23.99,24.42,23.93,1.4100000000000001
UTL_WASTE,25.89,24.79,25.84,26.27,26.19,1.0500000000000007
UTL_WATER,25.52,24.29,25.49,26.0,25.62,1.1999999999999993
