,oil_g,trd_g,d_rrate,rfx_g,gpr_l,lab_g
ACF_FOOD,-0.032740639058955766,0.0550964340785204,-0.10713675981936556,0.004288922373480364,-0.002837527621427997,0.07674226030280426
ACF_LODGE,-0.0292175979149701,0.01550111168105395,-0.10503415158792224,-0.01819788831693224,-0.004767308110855731,0.11817351982412186
AGR,-0.005269410687072018,0.007739930901934717,0.27933317759521326,-0.007485516451343283,-0.004563528095743713,0.10434582332701806
ART_CRE,-0.023124748280209686,0.012351684494651943,-0.12984843633676596,-0.0803440258335941,-0.000773289207328375,-0.21285494483514694
ART_SPO,-0.030866079225491203,-0.01799932501138315,0.0014857842999506504,-0.06886776947853407,-0.00163314552085181,0.18925526733378098
BUS_FAC,0.006083006180822656,-0.0010079040820928599,0.4082161135735837,-0.06298115747973013,0.01017765008695291,0.32405729244200454
BUS_RENT,0.0072565019935069315,0.002826273652270211,0.30541170726515676,-0.044515935172011016,0.01225296405136049,0.531692959808372
BUS_SUP,0.0011388793107352223,0.02102188152668368,0.31731875674444293,-0.056926688467343584,0.007174026456258455,0.32544046263858123
CON,-0.0068431861886040085,0.0001624491459321304,-0.32390746624086036,-0.010248266153854298,-0.005617551927664154,0.13373825160452524
EDU,-0.0013041664169763931,0.011025326113482744,0.024169967179090583,-0.012069959833474647,-0.0004736861411352465,-0.07448431429770426
E_AI,0.047348531560453495,0.025843152930341673,0.49882058442865207,0.06078434596064384,-0.0036753387276335244,-1.2387215333678085
E_BATT,0.027560082843619764,0.127930324817411,-0.047833057804920316,-0.11369934748568941,0.0024793163433448205,0.11000064620639038
E_BIO,0.0023288502747585453,0.011561403731753073,0.011716602892486775,-0.1409679949143363,0.0012661094965891954,0.1797149466555113
E_CONT,0.02563702521553413,-0.36198872330941584,-0.45892645083437295,-0.19018362308752113,0.022590417897744037,-2.019606487785929
E_HEALTH,-0.002281716504221935,0.024585887653888975,-0.3224552140229197,0.03177479365755574,0.01297937109666433,0.33677212859817585
E_PLAT,0.034263983649158315,-0.21155364274550595,0.36286214628689295,-0.12420150952761462,0.003461521888457758,-0.7006691886552926
E_RENEW,0.01614077580531073,0.015121032886327063,-0.11660752393017619,0.12779971344473348,0.0047430033148491155,-0.5996308696315839
E_SEMI,0.02798888202282376,0.12945059921928967,-0.3772555994275944,0.08075269374831555,0.00616035790202612,-0.22976544712456728
FIN_AUX,0.021930034474336908,0.07834209509205164,0.4342886105443917,-0.032809081852517304,0.006693356314597339,-0.2714264665904869
FIN_BANK,0.0007885835823740364,0.01733612332399754,0.5024029792026737,0.0304947733547734,0.002954907861091821,-0.5267153909159785
FIN_INS,0.0190104714011573,0.015474856331085555,0.5457526110798931,-0.018147939333938823,0.004754703235328761,-0.6190053084885627
HW_WELF,0.0005033966292907872,0.015077797903919636,-0.06915792956518721,-0.015160720383861804,0.004426371353783415,-0.05057012814062212
H_CHEM,0.014425996046405203,0.12766121511495904,0.22523979663795454,-0.19568343392583004,0.001774013154548338,0.00891003544391892
H_ELEC,0.02798888202282376,0.12945059921928967,-0.3772555994275944,0.08075269374831555,0.00616035790202612,-0.22976544712456728
H_ELECEQ,0.027560082843619573,0.1279303248174124,-0.04783305780491764,-0.11369934748568855,0.0024793163433450565,0.11000064620639718
H_HEALTH,-0.0022817165042216757,0.0245858876538884,-0.3224552140229275,0.03177479365755839,0.01297937109666462,0.33677212859817485
H_INFOSVC,-0.03649281934063666,0.26575983765317523,0.6230004830782214,-0.22607681336979338,-0.0067245295425587175,1.1379992183321321
H_MEDIA,-0.05317290720690858,0.4833557640476122,-0.2559080718243643,0.36324756577724115,-0.044998401665770064,2.6412458207953744
H_RETAIL,0.0022801401440985707,0.06556770841053951,0.19016469117448095,-0.054461236108883294,0.0010774364644163066,0.18741217879842315
H_UTIL,0.016140775805310953,0.015121032886327268,-0.11660752393016718,0.12779971344473365,0.004743003314849051,-0.5996308696315781
ICT_TEL,-0.00683351200994522,0.04122733532538727,0.09656642115472854,0.04724658344606978,0.005379829198614374,-0.41692037164503915
MFG_APP,0.04164129975222069,0.09818394772122833,0.4183100143543801,-0.09297896483476747,-0.0031902941835811934,-0.1488868134686502
MFG_AUTO,0.030158254229471132,0.2970974294956741,-0.025746461321839536,-0.1261825519827607,-0.01473686445120364,-0.0019097562536215967
MFG_BEV,0.023276009607393077,0.10731366396606672,0.5462454832150233,0.01659492857764015,-0.005433322960812533,-0.15029147648177768
